CODIGO,INGRESO/EGRESO,CANTIDAD,COSTO/U,COSTO/T
CXPZ5C-MPVT7002,EGRESO,12,2.00,24.00
CXPZ5C-MVT7001,EGRESO,12,2.00,24.00
CXPZ5-MPVT002,EGRESO,15,2.00,30.00
CXPZ5-MVT001,EGRESO,10,2.00,20.00
TOXPZ3C-MVT7004,EGRESO,10,7.00,70.00
COXPZ3-MVT7001,EGRESO,10,3.00,30.00
TST41-ET5014,EGRESO,4,24.00,96.00
TSTA8-MVT7001,EGRESO,6,6.00,36.00
WUCPI-IU3028,EGRESO,16,37.27,596.35
WCPRO-II03452,EGRESO,12,14.89,178.74
TST47-MVT7004,EGRESO,8,6.00,48.00
WECAR-0463B,EGRESO,20,15.49,309.78
TST47-ER5001,EGRESO,14,4.00,56.00
CSJ5-MVT7001,EGRESO,15,3.00,45.00
WACAR-I0364W,EGRESO,20,15.49,309.78
CSJ5-EA5017,EGRESO,16,4.00,64.00
WUCPI-IU3028,EGRESO,16,37.27,596.35
CSS6E-EH4026,EGRESO,16,6.00,96.00
WCPRO-II03452,EGRESO,12,14.89,178.74
CNL830-EP1001,EGRESO,14,1.00,14.00
WECAR-0463B,EGRESO,20,15.49,309.78
WACAR-I0364W,EGRESO,20,15.49,309.78
AUX2S-190S,EGRESO,14,16.00,224.00
WUCPI-IU3028,EGRESO,16,37.27,596.35
CLGGF2-MA7001,EGRESO,12,0.00,0.00
WCPRO-II03452,EGRESO,12,14.89,178.74
CLGGF2-EA5014,EGRESO,14,4.00,56.00
TSTA8-ET609,EGRESO,4,26.00,104.00
WECAR-0463B,EGRESO,20,15.49,309.78
WACAR-I0364W,EGRESO,20,15.49,309.78
TAPM4-ES55018,EGRESO,18,7.00,126.00
WUCPI-IU3028,EGRESO,16,37.27,596.35
TAPMN-ER5077,EGRESO,16,6.00,96.00
WCPRO-II03452,EGRESO,12,14.89,178.74
CAI34.7-EA5005,EGRESO,12,4.00,48.00
CHAP8L-EA5014,EGRESO,16,4.00,64.00
MOUG-DX120,EGRESO,130,3.72,484.12
WECAR-0463B,EGRESO,20,15.49,309.78
WACAR-I0364W,EGRESO,20,15.49,309.78
CTOM9-MVT7007,EGRESO,10,2.00,20.00
CTOM8-MVT7006,EGRESO,12,2.00,24.00
WUCPI-IU3028,EGRESO,16,37.27,596.35
WCPRO-II03452,EGRESO,12,14.89,178.74
AUB3.5-1013,EGRESO,15,15.00,225.00
AUHFB-1016,EGRESO,6,23.00,138.00
WECAR-0463B,EGRESO,20,15.49,309.78
WACAR-I0364W,EGRESO,20,15.49,309.78
CXPC5-MVT7001,EGRESO,15,3.00,45.00
DSX5-X5SW,EGRESO,4,92.93,371.72
CXPC5-EA5002,EGRESO,16,7.00,112.00
DSX5-X5SW,EGRESO,3,92.93,278.79
CXPC4-EA5015,EGRESO,16,4.00,64.00
COXPC3-MVT7006,EGRESO,8,2.00,16.00
CHAP8L-MVT001,EGRESO,12,2.00,24.00
CNL830-MVT830,EGRESO,12,2.00,24.00
CAI34.7-MVT001,EGRESO,12,2.00,24.00
COXPC4-MVT2016,EGRESO,12,2.00,24.00
CXPM5-EP002,EGRESO,12,1.00,12.00
CXPM4A-EP001,EGRESO,12,1.00,12.00
CHAP8L-EP001,EGRESO,12,1.00,12.00
CHAP8-EP002,EGRESO,12,1.00,12.00
CXPM4A-MPVT1119,EGRESO,10,2.00,20.00
COXPZ3-BM118,EGRESO,10,6.00,60.00
PS3AB-P34004,EGRESO,6,17.03,102.18
PS4EC-A12AE2012,EGRESO,8,5.84,46.74
PS4VC-12AE101,EGRESO,8,18.49,147.92
PS4MP-A12AC1048,EGRESO,10,4.88,48.84
PS4BR-2000,EGRESO,12,5.84,70.10
PS3HC-20348,EGRESO,10,5.84,58.42
X1MA-0001,EGRESO,8,4.62,37.00
X36MVE-X302590,EGRESO,3,9.73,29.18
X36CA-X33021,EGRESO,12,30.67,368.05
X36WP-X30083,EGRESO,20,13.38,267.56
WCRM1-I0371,EGRESO,12,25.33,303.90
WCNUK-I03634,EGRESO,6,5.61,33.65
WCNUK-I03651,EGRESO,6,5.61,33.65
X1TK-1118,EGRESO,4,23.86,95.46
X1BT-X13003,EGRESO,8,4.14,33.10
X36CI-X33021,EGRESO,4,45.28,181.10
PS3AB-P34004,EGRESO,6,17.03,102.18
PS4EC-A12AE2012,EGRESO,8,5.84,46.74
PS4VC-12AE101,EGRESO,8,18.49,147.92
PS4MP-A12AC1048,EGRESO,10,4.88,48.84
PS4BR-2000,EGRESO,12,5.84,70.10
PS3HC-20348,EGRESO,10,5.84,58.42
X1MA-0001,EGRESO,8,4.62,37.00
X36MVE-X302590,EGRESO,3,9.73,29.18
X36CA-X33021,EGRESO,12,30.67,368.05
X36WP-X30083,EGRESO,20,13.38,267.56
WCRM1-I0371,EGRESO,12,25.33,303.90
WCNUK-I03634,EGRESO,6,5.61,33.65
WCNUK-I03651,EGRESO,6,5.61,33.65
X1TK-1118,EGRESO,4,23.86,95.46
X1BT-X13003,EGRESO,8,4.14,33.10
X36CI-X33021,EGRESO,4,45.28,181.10
X1FPO-X33032S,EGRESO,5,19.48,97.42
DSX5-HP02A,EGRESO,12,1.22,14.61
DSX5-PA03A,EGRESO,8,1.01,8.12
DSX5-APH04,EGRESO,4,1.52,6.09
DSX5-PL05,EGRESO,6,0.59,3.53
DSX5-MTA07,EGRESO,16,3.33,53.26
DSX5-MTB07,EGRESO,16,3.33,53.26
DSX5-PRR09,EGRESO,1,12.20,12.20
DSX5-CCR11,EGRESO,10,1.73,17.25
DSX5-CR13,EGRESO,3,36.09,108.26
DSX8-PA03,EGRESO,4,1.66,6.66
DSX8-APH04,EGRESO,4,1.99,7.96
DSX8-RD07,EGRESO,8,0.49,3.90
DSX8-CM08,EGRESO,6,0.85,5.11
DSX8-ER09,EGRESO,6,0.67,4.02
DSX8-MTAR10,EGRESO,4,4.00,15.99
DSX8-MTBR11,EGRESO,4,4.00,15.99
DSX8-SMR12,EGRESO,6,4.00,23.99
DSX8-CHR13,EGRESO,4,0.85,3.41
DSX8-TBR16,EGRESO,2,1.20,2.40
DSX8-CR19,EGRESO,3,6.66,19.97
DSX8-CLR20,EGRESO,4,0.71,2.84
DSX8-CR23,EGRESO,2,34.42,68.85
DSX5-HP02A,EGRESO,12,1.22,14.61
DSX5-PA03A,EGRESO,8,1.01,8.12
DSX5-APH04,EGRESO,4,1.52,6.09
DSX5-PL05,EGRESO,6,0.59,3.53
DSX5-MTA07,EGRESO,16,3.33,53.26
DSX5-MTB07,EGRESO,16,3.33,53.26
DSX5-PRR09,EGRESO,1,12.20,12.20
DSX5-CCR11,EGRESO,10,1.73,17.25
DSX5-CR13,EGRESO,3,36.09,108.26
DSX8-PA03,EGRESO,4,1.66,6.66
DSX8-APH04,EGRESO,4,1.99,7.96
DSX8-RD07,EGRESO,8,0.49,3.90
DSX8-CM08,EGRESO,6,0.85,5.11
DSX8-ER09,EGRESO,6,0.67,4.02
DSX8-MTAR10,EGRESO,4,4.00,15.99
DSX8-MTBR11,EGRESO,4,4.00,15.99
DSX8-SMR12,EGRESO,6,4.00,23.99
DSX8-CHR13,EGRESO,4,0.85,3.41
DSX8-TBR16,EGRESO,2,1.20,2.40
DSX8-CR19,EGRESO,3,6.66,19.97
DSX8-CLR20,EGRESO,4,0.71,2.84
DSX8-CR23,EGRESO,2,34.42,68.85